KIND;OPR;STAT;AREA;CITY ;CB  ;LAC; CID ; GSM ; DCS;3G L; 3G C;  3G S   ;U-L; U900 ;U-S ;  DATE  ; ADDR                ; REM                               ;  OZIN     ;  OZIE  ;LOCK

/;Гродно

$;4;R  ;GRO; Мосты              ;v;;;;; 231 ; 401493 ;      :53;;      ;        ;24.08.20 ; Ленина, 2             ; универмаг, мачта МТС                                 ; 53.413183; 24.542099;G
$;4;R  ;GRO; Сморгонь            ;;;;;; 235 ; 401496 ; 123;     ;      ;        ;28.08.21 ; Победы, 14            ; котельная N2, труба                                  ; 54.483545; 26.380576;G
$;4;R  ;GRO; Сморгонь           ;v;;;;; 235 ; 401496 ;:51:52:53;;      ;        ;28.08.21 ; Победы, 14            ; котельная N2, труба                                  ; 54.483545; 26.380576;G
$;4;R  ;GRO; Сморгонь            ;;;;;; 235 ; 401497 ; 123; 235 ;401497;56789:10;28.08.21 ; пер.Больничный, 13    ; поликлиника ЦРБ, мачта МТС                           ; 54.489020; 26.404914;G
$;4;R  ;GRO; Сморгонь           ;v;;;;; 235 ; 401497 ;:51:52:53;;      ;        ;28.08.21 ; пер.Больничный, 13    ; поликлиника ЦРБ, мачта МТС                           ; 54.489020; 26.404914;G
$;4;R  ;GRO; Раковцы                 ;; 235 ; 401560 ;   :22   ;;;;  ;;;        ;28.04.24 ; Сморгонский р-н       ; опорная мачта МТС                                    ; 54.280610; 26.313244;G
$;4;R  ;GRO; Лида                ;;;;;; 237 ; 401604 ; 123; 237 ;401604;56789:10;03.02.20 ; Черняховского, 30     ; общежитие обувной фабрики, триподы МТС               ; 53.893752; 25.287260;G
$;4;R  ;GRO; Лида               ;v;;;;; 237 ; 401604 ;:51:52:53;;      ;        ;03.02.20 ; Черняховского, 30     ; общежитие обувной фабрики, триподы МТС               ; 53.893752; 25.287260;G
$;4;R  ;GRO; Волковыск           ;;;;;; 232 ; 401614 ;  23;     ;      ;        ;01.02.20 ; Советская, 34         ; мачта МТС                                            ; 53.162990; 24.470390;G
$;4;R  ;GRO; Волковыск          ;v;;;;; 232 ; 401614 ;   :52:53;;      ;        ;25.08.20 ; Советская, 34         ; мачта МТС                                            ; 53.162990; 24.470390;G
