KIND;OPR;STAT;AREA;CITY          ; CB           ;LAC ; CID  ;GSM ;DCS ;3G L ; 3G C ;  3G S   ;U-L; U900 ;U-S ; DATE    ; ADDR                  ; REM                                                  ;  OZIN    ;  OZIE    ;LOCK
$;M;R  ;MIO; Баравая             ;              ;   ;  356 ;    ;    ; 201 ; 1676 ;247      ;   ;      ;    ;14.06.19; Баравая 5             ; Экспобел, трубастойкі                                ; 53.963468; 27.625394;G
$;M;R  ;MIO; Баравая             ;              ;   ;  356 ;    ;    ; 201 ;  250 ;1  4  7  ;   ;      ;    ;10.12.16; Баравая 5             ; Экспобел, усярэдзіне                                     ; 53.964229; 27.624453;G
$;M;R  ;MIO; Шчомысліца          ; SCHOMYSLITSA ;175;  363 ;123 ;456 ; 175 ; 1932 ;123456789;175; 6427 ;79  ;04.11.07; Менскі р-н            ; апорная мачта                                        ; 53.816896; 27.443999;G
$;M;R  ;MIO; Шчомысліца          ;              ;   ;  363 ;    ;    ; 175 ; 1933 ;12 45 78 ;175; 1120 ;9   ;07.10.16; Менскі р-н            ; апорная мачта                                        ; 53.816896; 27.443999;G
$;M;R  ;MIO; Шчомысліца          ;              ;   ;  363 ;    ;    ; 175 ; 1245 ;135      ;   ;      ;    ;15.06.19; Менскі р-н            ; апорная мачта                                        ; 53.816896; 27.443999;G
$;M;R  ;MIO; Красоўшчына         ; KRASOVSCHINA ;172;  364 ;123 ;456 ; 172 ; 1934 ; 23 56789;172; 1124 ;01  ;11.12.06; Маладзечанскі р-н     ; Р28, супольная вежа 70м                                  ; 54.219100; 27.115310;G
$;M;R  ;MIO; Красоўшчына         ;              ;   ;  364 ;    ;    ; 172 ; 4710 ; 2345    ;172; 6366 ;9   ;11.12.22; Маладзечанскі р-н     ; Р28, супольная вежа 70м                                  ; 54.219100; 27.115310;G
$;M;R  ;MIO; Красоўшчына         ;              ;   ;  364 ;    ;    ; 172 ; 1926 ;67       ;   ;      ;    ;13.08.18; Маладзечанскі р-н     ; Р28, супольная вежа 70м                                  ; 54.219100; 27.115310;G
$;M;R  ;MIO; Пісараўшчына        ; PISAREVSCHINA;172;  365 ;123 ;456 ; 172 ; 1936 ;1 34 67 9;172; 6366 ;68  ;11.12.06; Маладзечанскі р-н     ; Р28, вежа 70м                                       ; 54.259772; 27.007227;G
$;M;R  ;MIO; Пісараўшчына        ;              ;   ;  365 ;    ;    ; 172 ; 1926 ;89       ;   ;      ;    ;30.07.19; Маладзечанскі р-н     ; Р28, вежа 70м                                       ; 54.259772; 27.007227;G
$;M;R  ;MIO; Цна                 ; TSNA         ;172;  366 ;1237;    ;     ;      ;         ;172; 6366 ;2345;16.07.07; Вілейскі р-н          ; Р28, супольная вежа 70м                                  ; 54.404020; 26.875650;G
$;M;R  ;MIO; Заспорня            ; ZASPORNIA    ;202;  367 ;123 ;456 ; 202 ; 1937 ;123456789;202; 1124 ;3   ;03.01.07; Вілейскі р-н          ; Р28, вежа 70м                                       ; 54.469770; 26.855690;G
$;M;R  ;MIO; Заспорня            ;              ;   ;  367 ;    ;    ; 202 ; 2674 ;34       ;202; 6365 ;9   ;23.07.21; Вілейскі р-н          ; Р28, вежа 70м                                       ; 54.469770; 26.855690;G
$;M;R  ;MIO; Заспорня            ;              ;   ;  367 ;    ;    ;     ;      ;         ;202; 6366 ;1   ;23.07.21; Вілейскі р-н          ; Р28, вежа 70м                                       ; 54.469770; 26.855690;G
$;M;R  ;MIO; Талуць              ; TALUT'       ;202;  368 ;123 ;    ;     ;      ;         ;202; 6365 ;7   ;03.01.07; Вілейскі р-н          ; Р28, вежа 70м                                       ; 54.686420; 26.925050;G
$;M;R  ;MIO; Занарач             ; ZANAROCH'    ;202;  369 ;123 ;    ; 202 ;      ;         ;   ;      ;    ;03.01.07; Мядзелскі р-н         ; супольная вежа 70м                                       ; 54.803400; 26.778840;G
$;M;R  ;MIO; Валяр'янава         ; VALER'IANOVO ;201;  370 ;123 ;456 ; 201 ; 1939 ;123456789;201; 6427 ;456 ;30.07.08; Менскі р-н            ; Лясная, вежа 40м                                    ; 53.974497; 27.666874;G
$;M;R  ;MIO; Валяр'янава         ;              ;   ;  370 ;    ;    ; 201 ; 1115 ;56       ;   ;      ;    ;11.08.19; Менскі р-н            ; Лясная, вежа 40м                                    ; 53.974497; 27.666874;G
$;M;R  ;MIO; Ратамка             ; GONOLES      ;211;  371 ;123 ;456 ; 211 ; 1940 ;12 4  7  ;211;  499 ;8   ;13.10.06; Менскі р-н            ; ММЦ "Юнацтва", корпус "Марскі", трубастойкі          ; 53.976193; 27.340100;G
$;M;R  ;MIO; Ратамка             ;              ;   ;  371 ;    ;    ;     ;      ;         ;211; 1124 ;5   ;26.09.19; Менскі р-н            ; ММЦ "Юнацтва", корпус "Марскі", трубастойкі          ; 53.976193; 27.340100;G
$;M;R  ;MIO; Бараўляны           ; BOROVLIANY   ;201;  372 ;123 ;456 ; 201 ; 4411 ;123456789;201; 6426 ;89  ;13.10.06; Фрунзенская 43        ; дзіцячы гематалагічны цэнтр, трубастойкі          ; 53.9977  ; 27.6909  ;G
$;M;R  ;MIO; Бараўляны           ;              ;   ;  372 ;    ;    ; 201 ; 4440 ;1  4  7  ;201; 6427 ;0   ;13.10.06; Фрунзенская 43        ; дзіцячы гематалагічны цэнтр, трубастойкі          ; 53.9977  ; 27.6909  ;G
$;M;R  ;MIO; Бараўляны           ;              ;   ;  372 ;    ;    ; 201 ; 1447 ;6 89     ;   ;      ;    ;14.08.19; Фрунзенская 43        ; дзіцячы гематалагічны цэнтр, трубастойкі          ; 53.9977  ; 27.6909  ;G
$;M;R  ;MIO; Раўбічы             ; RAUBICHI     ;201;  374 ;123 ;456 ; 201 ; 1941 ;123456789;201; 6426 ;123 ;22.02.07; Менскі р-н            ; СК, высокі трамплін                                 ; 54.059497; 27.738046;G
$;M;R  ;MIO; Раўбічы             ;              ;   ;  374 ;    ;    ; 201 ; 1942 ;1  4  7  ;   ;      ;    ;14.09.14; Менскі р-н            ; СК, высокі трамплін                                 ; 54.059497; 27.738046;G
$;M;R  ;MIO; Раўбічы             ;              ;   ;  374 ;    ;    ; 201 ; 1927 ;  12     ;   ;      ;    ;11.06.19; Менскі р-н            ; СК, высокі трамплін                                 ; 54.059497; 27.738046;G
$;M;R  ;MIO; Навінка             ; NOVINKA      ;216;  375 ;123 ;    ; 216 ; 4716 ;123456789;216;  499 ;9   ;22.02.07; Менскі р-н            ; вежа                                                ; 54.054191; 27.388328;G
$;M;R  ;MIO; Навінка             ;              ;   ;  375 ;    ;    ; 216 ; 4719 ;12 45 78 ;216; 1124 ;78  ;10.08.21; Менскі р-н            ; вежа                                                ; 54.054191; 27.388328;G
$;M;R  ;MIO; Навінка             ;              ;   ;  375 ;    ;    ; 216 ; 6165 ;346      ;216; 4625 ;9   ;10.08.21; Менскі р-н            ; вежа                                                ; 54.054191; 27.388328;G
$;M;R  ;MIO; Навінка             ;              ;   ;  375 ;    ;    ;     ;      ;         ;216; 4768 ;2   ;10.08.21; Менскі р-н            ; вежа                                                ; 54.054191; 27.388328;G
$;M;R  ;MIO; Прымор'е            ;SEMKOV GORODOK;200;  376 ;123 ;456 ; 200 ; 1362 ;123456789;200; 6425 ;5   ;16.03.08; Менскі р-н            ; санаторыя-прафілакторый БНТУ, трыпод                 ; 53.991870; 27.462720;G
$;M;R  ;MIO; Прымор'е            ;              ;   ;  376 ;    ;    ;     ;      ;         ;200; 1124 ;9   ;19.01.17; Менскі р-н            ; санаторыя-прафілакторый БНТУ, трыпод                 ; 53.991870; 27.462720;G
$;M;R  ;MIO; Прымор'е            ;              ;   ;  376 ;    ;    ;     ;      ;         ;200; 1145 ;0   ;30.03.18; Менскі р-н            ; санаторыя-прафілакторый БНТУ, трыпод                 ; 53.991870; 27.462720;G
$;M;R  ;MIO; Бальшавік           ; BOL'SHEVIK   ;201;  377 ;123 ;456 ; 201 ; 1363 ;12345678 ;201; 6425 ;34  ;13.10.06; Менскі р-н            ; саўгас Бальшавік, птушкафабрыка, трубастойкі          ; 54.0026  ; 27.5805  ;G
