KIND;OPR;STAT;AREA;CITY          ; CB          ; LAC ; CID ;GSM ;DCS ;3G L ; 3G C ;  3G S   ;U-L; U900 ;U-S ;  DATE   ; ADDR                  ; REM                                                  ;  OZIN     ;  OZIE  ;LOCK
$;V;R  ;MIO; Церабуты            ; TEREBUTY    ; 117 ; 120 ;123 ;456 ; 117 ; 3861 ;123456789;117; 5081 ;123 ;15.01.07; Старадарожскі р-н    ; мачта 70м                                            ; 53.246669; 28.040796;G
$;V;R  ;MIO; Юхнаўка             ; YUHNOVKA    ; 112 ; 121 ;123 ;    ; 112 ; 3528 ;123456789;112; 5121 ;123 ;27.06.05; Менскі р-н           ; вежа 70м                                             ; 53.970634; 27.868565;G
$;V;R  ;MIO; Юхнаўка             ;             ;     ; 121 ;    ;    ; 112 ; 2528 ;12 45 78 ;112; 5121 ;  4 ;05.03.21; Менскі р-н           ; вежа 70м                                             ; 53.970634; 27.868565;G
$;V;R  ;MIO; Юхнаўка             ;             ;     ; 121 ;    ;    ; 112 ; 4528 ;1 345    ;   ;      ;    ;05.03.21; Менскі р-н           ; вежа 70м                                             ; 53.970634; 27.868565;G
$;V;R  ;MIO; Шапялі              ; SHEPELI     ; 116 ; 122 ;123 ;45  ; 116 ; 3762 ;123456789;116; 5122 ;1234;06.06.05; Менскі р-н           ; Р58, вежа 70м                                        ; 54.167130; 27.501330;G
$;V;R  ;MIO; Шапялі              ;             ;     ; 122 ;    ;    ; 116 ; 4762 ;123      ;116; 5122 ; 6 8;07.06.21; Менскі р-н           ; Р58, вежа 70м                                        ; 54.167130; 27.501330;G
$;V;R  ;MIO; Барысаў             ; BORISOV     ; 113 ; 123 ;123 ;    ; 113 ; 3506 ;1234     ;   ;      ;    ;06.08.05; Л.Чаловской 19       ; ААТ "140 рамонтны з-д", труба                        ; 54.226783; 28.470023;G
$;V;R  ;MIO; Чапялі              ;             ;     ; 123?;    ;    ; 117 ; 3123 ; 23 56  9;117; 5123 ; 23 ;09.10.19; Салігорскі р-н       ; Заводская 4, мачта                                   ; 52.853305; 27.479129;Y
$;V;R  ;MIO; Чапялі              ;             ;     ; 123?;    ;    ; 117 ; 4123 ;  3      ;   ;      ;    ;20.06.21; Салігорскі р-н       ; Заводская 4, мачта                                   ; 52.853305; 27.479129;Y
$;V;R  ;MIO; Чэрвень             ;             ;     ; 124 ;    ;    ; 112 ; 3878 ;123456789;112; 5124 ;123 ;23.05.18; Гарбачова 15         ; ПУП "Святлопрыбор", апорная мачта                    ; 53.709244; 28.432172;G
$;V;R  ;MIO; Чэрвень             ;             ;     ; 124 ;    ;    ; 112 ; 4878 ;123      ;   ;      ;    ;12.12.21; Гарбачова 15         ; ПУП "Святлопрыбор", апорная мачта                    ; 53.709244; 28.432172;G
$;V;R  ;MIO; Паўлаўка            ;             ; 117 ; 124 ;1   ;    ;     ;      ;         ;   ;      ;    ;24.12.23; Слуцкі р-н           ; воданапорная вежа, трубастойка                       ; 53.243251; 27.712209;G
$;V;R  ;MIO; Шапавалы            ; SHAPOVALY   ; 116 ; 125 ;123 ;    ; 116 ; 3942 ;123456789;116; 5125 ;123 ;11.07.05; Валожынскі р-н       ; вежа 70м                                             ; 54.043750; 27.150370;G
$;V;R  ;MIO; Шапавалы            ;             ;     ; 125 ;    ;    ; 116 ; 1942 ;12 45 7  ;116; 5125 ;45 0;15.10.19; Валожынскі р-н       ; вежа 70м                                             ; 54.043750; 27.150370;G
$;V;R  ;MIO; Шапавалы            ;             ;     ; 125 ;    ;    ; 116 ; 4942 ;12345    ;116; 5125 ;678 ;21.10.19; Валожынскі р-н       ; вежа 70м                                             ; 54.043750; 27.150370;G
$;V;R  ;MIO; Валожын             ; VOLOZHIN    ; 111 ; 126 ;123 ;4   ; 111 ; 3606 ;123456 8 ;111; 5126 ; 23 ;16.04.07; Партызанская 11      ; ПУП "КААПхарч" Валожынскага РАЙПО, мачта             ; 54.089850; 26.520650;G
$;V;R  ;MIO; Валожын             ;             ;     ; 126 ;    ;    ; 111 ; 4606 ; 2       ;111; 5126 ; 5  ;23.07.20; Партызанская 11      ; ПУП "КААПхарч" Валожынскага РАЙПО, мачта             ; 54.089850; 26.520650;G
$;V;R  ;MIO; Светлая Рошча     ;SVETLAYA ROSCHA; 113 ; 127 ;123 ;    ; 113 ; 3759 ; 23  6 89;   ;      ;    ;10.06.06; Барысаўскі р-н       ; інстытут МНС, мачта                                  ; 54.334911; 28.383831;G
$;V;R  ;MIO; Р1, 19км           ;DEDOVA KORCHMA; 112 ; 129 ;1237;  6 ; 112 ; 3129 ;123456789;112; 5129 ;1234;12.07.16; Дзяржынскі р-н       ; кафэ "Дзедава карчма", слуп                          ; 53.781497; 27.362546;G
$;V;R  ;MIO; Р1, 19км            ;             ;     ; 129 ;    ;    ; 112 ; 4129 ;123      ;112; 5129 ;5678;04.02.20; Дзяржынскі р-н       ; кафэ "Дзедава карчма", слуп                          ; 53.781497; 27.362546;G
$;V;R  ;MIO; Слуцк               ; SLUCK       ; 117 ; 130 ;123 ;    ; 117 ; 3556 ;123456 89;   ;      ;    ;07.12.07; Кірмашовая 13        ; ПУП "Слуцкі рынак", мачта                            ; 53.021590; 27.540260;G
$;V;R  ;MIO; Крывічы             ; KRIVICHI    ; 115 ; 132 ;123 ;    ; 115 ; 3803 ;  3  6  9;115; 5132 ;1 3 ;30.07.06; Мядзелскі р-н        ; крама "Прамтавары", мачта                            ; 54.712580; 27.290550;G
$;V;R  ;MIO; Слуцк               ; SLUCK       ; 117 ; 133 ;123 ;    ; 117 ; 3557 ;123456  9;   ;      ;    ;07.12.07; Багдановіча 1шы зав. 39;інтэрнат, мачта                                     ; 53.016933; 27.550439;G
$;V;R  ;MIO; Слуцк               ; SLUCK       ; 117 ; 134 ;123 ;    ; 117 ; 3558 ;123456789;117; 5134 ;12  ;07.12.07; Леніна 207           ; інтэрнат спарткомплекса "Дэльфін", трыподы           ; 53.032596; 27.559226;G
$;V;R  ;MIO; Слуцк               ; SLUCK       ; 117 ; 135 ;123 ;    ; 117 ; 3661 ;123456789;   ;      ;    ;07.12.07; Пугачова 1А          ; база ОПС, трыпод                                     ; 52.991502; 27.592381;G
$;V;R  ;MIO; Нарач?              ;             ; 115 ; 136 ;1 3 ;    ;     ;      ;         ;   ;      ;    ;08.04.18; Мядзелскі р-н        ; Фаворітъ яго ведае дзе??? (ch96)                     ;          ;          ;
$;V;R  ;MIO; Смалявічы           ; SMOLEVICHI  ; 112 ; 137 ;123 ;    ; 112 ; 3608 ;123456789;112; 5137 ;123 ;15.06.08; Першамайская 101     ; лякарня, мачта                                       ; 54.0159  ; 28.0979  ;G
$;V;R  ;MIO; Смалявічы           ;             ;     ; 137 ;    ;    ; 112 ; 4608 ;123      ;112; 5137 ;45  ;26.06.19; Першамайская 101     ; лякарня, мачта                                       ; 54.0159  ; 28.0979  ;G
